ACCESSION	GSE1730
TITLE	mRNA abundance from wild type

EXP	NAME	STDDEV	SAMPLES	TIMEPOINT	CHANNELS	TEST COL	TEST BKGD	CNTL COL	CNTL BKGD	LOG	NORM	RMA DATA
70	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant	0.929	GSM30231,GSM30232,GSM30233,GSM30234		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
71	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.875	GSM30235,GSM30236,GSM30237,GSM30238		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
72	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant	1.135	GSM30239,GSM30240,GSM30241,GSM30242		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
73	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.969	GSM30243,GSM30244,GSM30245,GSM30246		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
74	mRNA abundance (wt in LB, norfloxacin for 10 min)  / Genomic DNA from dnaC(ts) mutant	0.697	GSM30247,GSM30248,GSM30249,GSM30250		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
75	mRNA abundance (wt in LB, norfloxacin for 10 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.631	GSM30251,GSM30252,GSM30253,GSM30254		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
76	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant	0.904	GSM30255,GSM30256,GSM30257,GSM30258		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
77	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.811	GSM30259,GSM30260,GSM30261,GSM30262		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
78	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB)	0.285	GSM30330,GSM30331,GSM30332,GSM30333		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
79	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB) (dye swap)	0.345	GSM30334,GSM30335,GSM30336,GSM30337		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
80	mRNA abundance (wt, M9) / Genomic DNA from dnaC(ts) mutant	0.300	GSM30338,GSM30339,GSM30340,GSM30341		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	

LABELS
LOCUSTAG	Locus_Tag
GENE	Name
EXP_num_M	Ratio of Test/Control
EXP_num_A	Average=0.5*(Test+Control)
EXP_num_TestInt	Test Intensity
EXP_num_CntlInt	Control Intensity

LOCUSTAG	GENE	EXP_70_M	EXP_70_A	EXP_70_TestInt	EXP_70_CntlInt	EXP_71_M	EXP_71_A	EXP_71_TestInt	EXP_71_CntlInt	EXP_72_M	EXP_72_A	EXP_72_TestInt	EXP_72_CntlInt	EXP_73_M	EXP_73_A	EXP_73_TestInt	EXP_73_CntlInt	EXP_74_M	EXP_74_A	EXP_74_TestInt	EXP_74_CntlInt	EXP_75_M	EXP_75_A	EXP_75_TestInt	EXP_75_CntlInt	EXP_76_M	EXP_76_A	EXP_76_TestInt	EXP_76_CntlInt	EXP_77_M	EXP_77_A	EXP_77_TestInt	EXP_77_CntlInt	EXP_78_M	EXP_78_A	EXP_78_TestInt	EXP_78_CntlInt	EXP_79_M	EXP_79_A	EXP_79_TestInt	EXP_79_CntlInt	EXP_80_M	EXP_80_A	EXP_80_TestInt	EXP_80_CntlInt
b0001	thrL	-1.047	11.598	2156.536	4455.896	1.246	11.374	4087.491	1723.350	2.507	12.266	11742.891	2065.822	1.172	11.833	5476.354	2430.437	-0.214	10.918	1796.533	2083.798	0.024	11.142	2278.707	2241.114	0.645	8.989	635.391	406.328	0.660	9.372	832.900	527.125	-0.336	10.794	1580.319	1994.761	0.045	9.459	714.852	692.898	-0.372	11.955	3489.973	4516.533
b0002	thrA	0.458	12.583	7191.116	5235.095	-0.831	13.002	6150.551	10941.326	-1.118	13.798	9667.988	20983.970	-1.598	13.733	7825.678	23690.155	-0.803	10.794	1344.170	2345.208	-0.818	11.925	2928.609	5163.022	-1.393	10.175	713.367	1873.474	-1.304	10.293	798.418	1971.393	0.142	10.265	1292.546	1171.385	0.156	9.299	664.903	596.757	-0.194	11.390	2509.180	2870.328
b0003	thrB	-0.441	12.192	4015.879	5451.736	0.743	12.077	5589.486	3339.694	-0.250	13.430	10120.549	12035.429	-0.133	13.171	8807.397	9657.941	0.115	11.022	2164.023	1998.220	-0.208	11.835	3399.248	3926.423	0.276	9.339	712.625	588.541	0.233	9.721	914.919	778.471	0.046	10.921	1970.027	1908.204	-0.119	10.157	1095.596	1189.797	-0.610	10.600	1256.330	1917.486
b0004	thrC	-1.355	11.091	1363.879	3488.763	0.868	10.542	2014.212	1103.599	0.994	12.801	10071.563	5056.768	0.820	12.590	8192.000	4640.292	0.197	10.057	1140.539	994.964	-0.137	10.999	1951.679	2146.098	-0.084	10.073	1046.241	1108.966	-0.003	9.528	737.500	739.036	-0.117	9.523	706.478	766.159	0.150	9.083	571.259	514.847	0.745	11.351	3381.623	2017.706
b0005	yaaX																																												
b0006	yaaA	-0.760	11.126	1717.388	2908.380	0.915	11.547	4108.796	2179.075	0.613	12.772	8650.093	5655.740	0.738	12.366	6817.372	4087.491	0.273	10.195	1288.521	1066.376	0.140	10.970	2105.577	1910.852	0.238	9.155	619.088	524.937	0.209	9.336	694.822	601.116	-0.032	10.185	1151.262	1177.083	0.060	9.462	720.073	690.740	-0.053	11.886	3715.910	3854.960
b0007	yaaJ	0.379	11.321	2917.466	2243.445	-0.014	10.896	1896.337	1914.829	0.588	12.539	7296.556	4854.140	0.330	12.173	5177.357	4118.776	0.378	9.852	1053.519	810.686	0.275	10.425	1512.270	1249.816	-0.234	9.840	845.113	993.930	0.381	9.318	728.356	559.308	0.028	10.300	1272.985	1248.517	0.160	9.652	850.401	761.130	-0.176	11.440	2613.921	2953.070
b0008	talB	-3.893	11.260	636.272	9452.630	3.572	12.088	15013.784	1262.441	3.609	13.083	30309.869	2484.087	3.986	12.743	27288.396	1722.156	1.987	11.403	5391.608	1360.103	1.711	12.043	7635.463	2332.239	3.266	10.518	4547.948	472.772	3.150	10.048	3154.072	355.326	0.508	13.840	17487.058	12296.840	0.654	12.450	7018.758	4460.532	-0.075	12.025	4060.664	4277.345
b0009	mog	-0.352	11.766	3082.745	3934.597	0.389	12.301	5774.579	4409.808	0.143	13.635	13368.037	12106.548	0.109	13.462	11718.498	10865.749	1.098	10.171	1686.714	787.972	0.858	11.556	4053.634	2236.458	0.443	10.881	2198.799	1617.444	0.838	10.433	1848.321	1033.985	-0.016	10.722	1679.714	1698.446	0.537	10.019	1249.816	861.376	0.017	11.721	3395.716	3355.937
b0010	yaaH	0.184	11.859	3959.219	3485.138	-0.395	12.637	5554.726	7304.147	0.116	12.564	6303.774	5816.760	0.265	13.015	9073.856	7551.251	0.662	9.784	1108.966	700.869	0.241	10.339	1408.067	1191.448	-0.068	11.204	2304.120	2415.322	0.552	10.299	1525.430	1040.456	0.101	10.445	1443.645	1346.035	0.344	9.631	893.299	703.789	0.251	10.990	2218.702	1864.406
