"LOCUSTAG","GENE","EXP_70_TestInt","EXP_70_CntlInt","EXP_71_TestInt","EXP_71_CntlInt","EXP_72_TestInt","EXP_72_CntlInt","EXP_73_TestInt","EXP_73_CntlInt","EXP_74_TestInt","EXP_74_CntlInt","EXP_75_TestInt","EXP_75_CntlInt","EXP_76_TestInt","EXP_76_CntlInt","EXP_77_TestInt","EXP_77_CntlInt","EXP_78_TestInt","EXP_78_CntlInt","EXP_79_TestInt","EXP_79_CntlInt","EXP_80_TestInt","EXP_80_CntlInt","mean_exp","stdev_exp","RSD"
"b0001","thrL",2156.536,4455.896,4087.491,1723.35,11742.891,2065.822,5476.354,2430.437,1796.533,2083.798,2278.707,2241.114,635.391,406.328,832.9,527.125,1580.319,1994.761,714.852,692.898,3489.973,4516.533,2633.18222727273,2165.21406066235,0.82228037172533
"b0002","thrA",7191.116,5235.095,6150.551,10941.326,9667.988,20983.97,7825.678,23690.155,1344.17,2345.208,2928.609,5163.022,713.367,1873.474,798.418,1971.393,1292.546,1171.385,664.903,596.757,2509.18,2870.328,5360.39268181818,5819.65852006051,1.08567764816934
"b0003","thrB",4015.879,5451.736,5589.486,3339.694,10120.549,12035.429,8807.397,9657.941,2164.023,1998.22,3399.248,3926.423,712.625,588.541,914.919,778.471,1970.027,1908.204,1095.596,1189.797,1256.33,1917.486,3765.36459090909,2897.51345625617,0.769517369779219
"b0004","thrC",1363.879,3488.763,2014.212,1103.599,10071.563,5056.768,8192,4640.292,1140.539,994.964,1951.679,2146.098,1046.241,1108.966,737.5,739.036,706.478,766.159,571.259,514.847,3381.623,2017.706,2443.37140909091,1999.86563947424,0.818486142562468
"b0005","yaaX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b0006","yaaA",1717.388,2908.38,4108.796,2179.075,8650.093,5655.74,6817.372,4087.491,1288.521,1066.376,2105.577,1910.852,619.088,524.937,694.822,601.116,1151.262,1177.083,720.073,690.74,3715.91,3854.96,2556.62054545455,1771.2703476972,0.692817066985702
"b0007","yaaJ",2917.466,2243.445,1896.337,1914.829,7296.556,4854.14,5177.357,4118.776,1053.519,810.686,1512.27,1249.816,845.113,993.93,728.356,559.308,1272.985,1248.517,850.401,761.13,2613.921,2953.07,2175.99672727273,1432.7839344822,0.658449489617555
"b0008","talB",636.272,9452.63,15013.784,1262.441,30309.869,2484.087,27288.396,1722.156,5391.608,1360.103,7635.463,2332.239,4547.948,472.772,3154.072,355.326,17487.058,12296.84,7018.758,4460.532,4060.664,4277.345,7410.0165,6587.62642907499,0.88901643188986
"b0009","mog",3082.745,3934.597,5774.579,4409.808,13368.037,12106.548,11718.498,10865.749,1686.714,787.972,4053.634,2236.458,2198.799,1617.444,1848.321,1033.985,1679.714,1698.446,1249.816,861.376,3395.716,3355.937,4225.67695454545,3284.17274684635,0.777194466631826
"b0010","yaaH",3959.219,3485.138,5554.726,7304.147,6303.774,5816.76,9073.856,7551.251,1108.966,700.869,1408.067,1191.448,2304.12,2415.322,1525.43,1040.456,1443.645,1346.035,893.299,703.789,2218.702,1864.406,3146.06477272727,1963.7328460011,0.624187036142542
